Titulo,Descricao,Marca,Modelo,Condicao,Memoria,Cor,Bateria,Preco,Localizacao,Contato,Golpe
"LG K10 Power","Celular LG K10 Semi Novo,bateria 100%,tudo certo com o celular.","LG","K10 Power","Usado - Bom","32GB","Dourado","Perfeita (95% até 100%)","400.00","28620-330","(22) 998779458","Sim"
"Samsung Galaxy S20","Celular Samsung Galaxy S20 Usado em Ótimo Estado.","Samsung","Galaxy S20","Usado - Ótimo","128GB","Preto","Perfeita (95% até 100%)","500.00","10001-100","(11) 123456789","Não"
"iPhone 11","iPhone 11 em perfeito estado, com poucos meses de uso.","Apple","iPhone 11","Usado - Excelente","64GB","Prateado","Perfeita (95% até 100%)","600.00","20002-200","(22) 987654321","Não"
"Xiaomi Redmi Note 8","Xiaomi Redmi Note 8, 64GB, tela sem riscos.","Xiaomi","Redmi Note 8","Usado - Bom","64GB","Azul","Boa (80% até 95%)","250.00","30003-300","(33) 55556666","Não"
"OnePlus 7T","Vendo OnePlus 7T em excelente estado, 128GB.","OnePlus","7T","Usado - Excelente","128GB","Cinza","Perfeita (95% até 100%)","450.00","40004-400","(44) 11112222","Não"
"Motorola Moto G7 Plus","Moto G7 Plus em bom estado, 64GB de armazenamento.","Motorola","Moto G7 Plus","Usado - Bom","64GB","Vermelho","Boa (80% até 95%)","180.00","50005-500","(55) 33334444","Não"
"Sony Xperia XZ2","Sony Xperia XZ2 em perfeitas condições.","Sony","Xperia XZ2","Usado - Excelente","64GB","Branco","Perfeita (95% até 100%)","350.00","60006-600","(66) 77778888","Não"
"Huawei P30 Pro","Huawei P30 Pro, 128GB, em excelente estado.","Huawei","P30 Pro","Usado - Excelente","128GB","Violeta","Perfeita (95% até 100%)","550.00","70007-700","(77) 99990000","Não"
"Google Pixel 4","Google Pixel 4 em bom estado, 64GB.","Google","Pixel 4","Usado - Bom","64GB","Preto","Boa (80% até 95%)","300.00","80008-800","(88) 11113333","Não"
"Nokia 9 PureView","Nokia 9 PureView, 128GB, em ótimas condições.","Nokia","9 PureView","Usado - Ótimo","128GB","Azul","Perfeita (95% até 100%)","400.00","90009-900","(99) 44445555","Não"
