Titulo,Descricao,Marca,Modelo,Condicao,Memoria,Cor,Bateria,Preco,Localizacao,Contato,Golpe
"LG K10 Power","Celular LG K10 Semi Novo,bateria 100%,tudo certo com o celular.","LG","K10 Power","Usado - Bom","32GB","Dourado","Perfeita (95% até 100%)","400.00","28620-330","(22) 998779458","Não"
"LG K10 Power","Celular LG K10 Semi Novo,bateria 100%,tudo certo com o celular.","LG","K10 Power","Usado - Bom","32GB","Dourado","Perfeita (95% até 100%)","200.00","28620-330","(22) 998779458","Sim"
"LG K10 Power","Celular LG K10 Semi Novo,bateria 100%,tudo certo com o celular.","LG","K10 Power","Usado - Bom","64GB","Dourado","Perfeita (95% até 100%)","200.00","28620-330","(22) 998779458","Sim"
"Samsung Galaxy S20","Celular Samsung Galaxy S20 Usado em Ótimo Estado.","Samsung","Galaxy S20","Usado - Ótimo","128GB","Preto","Perfeita (95% até 100%)","1500.00","10001-100","(11) 123456789","Não"
"Samsung Galaxy S20","Celular Samsung Galaxy S20 Usado em Ótimo Estado.","Samsung","Galaxy S20","Usado - Ótimo","128GB","Preto","Perfeita (95% até 100%)","500.00","10001-100","(11) 123456789","Sim"
"Samsung Galaxy S20","Celular Samsung Galaxy S20 Usado em Ótimo Estado.","Samsung","Galaxy S20","Usado - Ótimo","64GB","Preto","Perfeita (95% até 100%)","1500.00","10001-100","(11) 123456789","Sim"
"Samsung Galaxy S20","Celular Samsung Galaxy S20 Usado em Ótimo Estado.","Samsung","Galaxy S20","Usado - Ótimo","128GB","Preto","Perfeita (95% até 100%)","1500.00","10001-100","(11) 123456789","Sim"
"iPhone 11","iPhone 11 em perfeito estado, com poucos meses de uso.","Apple","iPhone 11","Usado - Excelente","64GB","Prateado","Perfeita (95% até 100%)","4000.00","20002-200","(22) 987654321","Sim"
"iPhone 11","iPhone 11 em perfeito estado, com poucos meses de uso.","Apple","iPhone 11","Usado - Excelente","64GB","Prateado","Perfeita (95% até 100%)","2250.00","20002-200","(22) 987654321","Não"
"iPhone 11","iPhone 11 em perfeito estado, com poucos meses de uso.","Apple","iPhone 11","Usado - Excelente","64GB","Branco","Perfeita (95% até 100%)","2250.00","20002-200","(22) 987654321","Não"
"iPhone 11","iPhone 11 em perfeito estado, com poucos meses de uso.","Apple","iPhone 11","Usado - Excelente","64GB","Dourado","Perfeita (95% até 100%)","2250.00","20002-200","(22) 987654321","Não"
"iPhone 11","iPhone 11 em perfeito estado, com poucos meses de uso.","Apple","iPhone 11","Usado - Excelente","64GB","Rosa","Perfeita (95% até 100%)","2250.00","20002-200","(22) 987654321","Não"
"iPhone 11","iPhone 11 em perfeito estado, com poucos meses de uso.","Apple","iPhone 11","Usado - Excelente","64GB","Prateado","Perfeita (95% até 100%)","600.00","20002-200","(22) 987654321","Sim"
"iPhone 11","iPhone 11 em perfeito estado, com poucos meses de uso.","Apple","iPhone 11","Usado - Excelente","64GB","Prateado","Perfeita (95% até 100%)","900.00","20002-200","(22) 987654321","Sim"
"iPhone 11","iPhone 11 em perfeito estado, com poucos meses de uso.","Apple","iPhone 11","Usado - Excelente","64GB","Prateado","Perfeita (95% até 100%)","1500.00","20002-200","(22) 987654321","Sim"
"iPhone 11","iPhone 11 em perfeito estado, com poucos meses de uso.","Apple","iPhone 11","Usado - Excelente","32GB","Prateado","Perfeita (95% até 100%)","2250.00","20002-200","(22) 987654321","Sim"
